scope,store_id,term,coefficient,p_value,ci_lower,ci_upper,r_squared,n_obs,fit_quality
Store 34,34,holiday_flag,67525.396762,0.192464,-34020.490140,169071.283664,0.097892,143,low
Store 35,35,fuel_price,-26055.814396,0.684699,-151821.768336,99710.139544,0.361007,143,moderate
Store 35,35,cpi,-23247.648930,0.029976,-44241.258792,-2254.039068,0.361007,143,moderate
Store 35,35,unemployment,431439.487246,0.000000,264635.862882,598243.111609,0.361007,143,moderate
Store 35,35,holiday_flag,153202.197378,0.248831,-107179.844198,413584.238954,0.361007,143,moderate
Store 36,36,fuel_price,5338.272473,0.570990,-13127.896556,23804.441501,0.850706,143,strong
Store 36,36,cpi,-18172.704906,0.000000,-23010.103710,-13335.306102,0.850706,143,strong
Store 36,36,unemployment,-31474.945019,0.006031,-53939.564408,-9010.325630,0.850706,143,strong
Store 36,36,holiday_flag,-10861.757080,0.303669,-31558.553464,9835.039305,0.850706,143,strong
Store 37,37,fuel_price,-210.003115,0.986805,-25097.447808,24677.441577,0.079807,143,low
Store 37,37,cpi,1824.487623,0.607929,-5145.705032,8794.680278,0.079807,143,low
Store 37,37,unemployment,3836.493190,0.812647,-27889.128094,35562.114474,0.079807,143,low
Store 37,37,holiday_flag,-11803.064252,0.236003,-31324.456282,7718.327779,0.079807,143,low
Store 38,38,fuel_price,-12995.528554,0.379549,-41981.515481,15990.458374,0.687485,143,strong
Store 38,38,cpi,16016.758143,0.001414,6181.631037,25851.885249,0.687485,143,strong
Store 38,38,unemployment,-9759.682350,0.017252,-17792.532602,-1726.832097,0.687485,143,strong
Store 38,38,holiday_flag,-1201.890692,0.927434,-27067.221226,24663.439843,0.687485,143,strong
Store 39,39,fuel_price,-145646.053243,0.225303,-381068.435534,89776.329048,0.226829,143,moderate
Store 39,39,cpi,59046.384357,0.091623,-9558.167263,127650.935977,0.226829,143,moderate
Store 39,39,unemployment,171233.895498,0.277837,-138031.879284,480499.670279,0.226829,143,moderate
Store 39,39,holiday_flag,96634.627558,0.435513,-146250.818006,339520.073122,0.226829,143,moderate
Store 40,40,fuel_price,-59946.966903,0.114512,-134393.408603,14499.474797,0.038459,143,low
Store 40,40,cpi,3695.731698,0.802645,-25286.934806,32678.398201,0.038459,143,low
Store 40,40,unemployment,-52236.527777,0.464264,-192132.180580,87659.125025,0.038459,143,low
Store 40,40,holiday_flag,45554.775166,0.278820,-36890.092058,127999.642390,0.038459,143,low
Store 41,41,fuel_price,37827.989000,0.462802,-63149.127679,138805.105678,0.174300,143,low
Store 41,41,cpi,43227.855442,0.076207,-4554.839301,91010.550186,0.174300,143,low
Store 41,41,unemployment,202586.422551,0.362615,-233556.725071,638729.570173,0.174300,143,low
Store 41,41,holiday_flag,64333.909773,0.529129,-136023.699158,264691.518705,0.174300,143,low
Store 42,42,fuel_price,3343.992927,0.891757,-44819.386061,51507.371915,0.136780,143,low
Store 42,42,cpi,5587.750331,0.597246,-15139.944722,26315.445383,0.136780,143,low
Store 42,42,unemployment,-8032.373753,0.623580,-40110.034883,24045.287378,0.136780,143,low
Store 42,42,holiday_flag,14551.227949,0.560085,-34391.865607,63494.321506,0.136780,143,low
Store 43,43,fuel_price,12921.437246,0.492415,-23970.850987,49813.725479,0.200993,143,moderate
Store 43,43,cpi,-5488.095275,0.008300,-9563.080494,-1413.110057,0.200993,143,moderate
Store 43,43,unemployment,-36811.435337,0.000697,-58089.868031,-15533.002642,0.200993,143,moderate
Store 43,43,holiday_flag,4814.671151,0.818581,-36326.572044,45955.914345,0.200993,143,moderate
Store 44,44,fuel_price,5492.104278,0.473594,-9528.352883,20512.561439,0.622378,143,strong
Store 44,44,cpi,-7833.123000,0.041142,-15351.219847,-315.026152,0.622378,143,strong
Store 44,44,unemployment,-33161.546229,0.000000,-43934.279495,-22388.812964,0.622378,143,strong
Store 44,44,holiday_flag,-4700.715165,0.557180,-20395.229697,10993.799367,0.622378,143,strong
Store 45,45,fuel_price,-31737.231440,0.499833,-123924.886064,60450.423185,0.015275,143,low
Store 45,45,cpi,1052.300182,0.841281,-9246.923576,11351.523941,0.015275,143,low
Store 45,45,unemployment,-54323.232467,0.541266,-228609.768395,119963.303461,0.015275,143,low
Store 45,45,holiday_flag,50992.587296,0.427795,-75044.502452,177029.677043,0.015275,143,low
Pooled store fixed effects,ALL,fuel_price,-46975.677618,0.000000,-57927.217851,-36024.137386,0.919595,6435,strong
Pooled store fixed effects,ALL,cpi,3000.890518,0.003928,961.421837,5040.359199,0.919595,6435,strong
Pooled store fixed effects,ALL,unemployment,-22041.862937,0.000000,-29738.988558,-14344.737316,0.919595,6435,strong
Pooled store fixed effects,ALL,holiday_flag,77785.868576,0.000000,55229.400349,100342.336802,0.919595,6435,strong
